Naziv isplatitelja;Datum;Primatelj;Iznos na poziciji;Programska klasifikacija;Ekonomska klasifikacija;Opis
GRAD OTOČAC;19.10.2021 2:00;24SATA d.o.o.;128,21;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava oglasa- parcelacijski elaborat G. Dubrava i Sajmišna 21/0001280
GRAD OTOČAC;16.9.2022 2:00;24SATA d.o.o.;128,21;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323990 Ostale nespomenute usluge;objava oglasa 22/0001675
GRAD OTOČAC;22.12.2022 1:00;24SATA d.o.o.;128,08;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323990 Ostale nespomenute usluge;objava oglasa 22/0002455
GRAD OTOČAC;3.3.2023 1:00;24SATA d.o.o.;154,28;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava javnog natječaja 23/0000176
GRAD OTOČAC;25.5.2023 2:00;24SATA d.o.o.;161,99;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava oglasa 23/0000693
GRAD OTOČAC;26.2.2024 1:00;24SATA d.o.o.;203,64;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava
GRAD OTOČAC;7.5.2024 2:00;24SATA d.o.o.;98,74;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava javnog poziva u tisku 24/0000532
GRAD OTOČAC;4.12.2024 1:00;24SATA d.o.o.;124,96;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava obavijesti 24/0001666
GRAD OTOČAC;26.6.2025 2:00;24SATA d.o.o.;373,29;A03 1029K102901 Rekonstrukcija nerazvrstanih cesta na području Grada;323750 Geodetsko-katastarske usluge;objava obavijesti 25/0000817
GRAD OTOČAC;9.3.2021 1:00;24SATA d.o.o.;308,58;A01 1001A100003 Redovan rad ureda Gradonačelnika;323990 Ostale nespomenute usluge;objava oglasa 14.02.2021. 21/0000067
GRAD OTOČAC;9.3.2021 1:00;24SATA d.o.o.;127,04;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava oglasa 21.02.2021. 21/0000059
GRAD OTOČAC;26.3.2021 1:00;24SATA d.o.o.;127,08;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava oglasa- javni poziv 21/0000306
GRAD OTOČAC;17.12.2021 1:00;24SATA d.o.o.;126;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323990 Ostale nespomenute usluge;objava oglasa 21/0001685
GRAD OTOČAC;26.5.2025 2:00;24SATA d.o.o.;199,09;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323790 Ostale intelektualne usluge;Objava javnog poziva u 24sata 25/0000588
GRAD OTOČAC;13.1.2025 1:00;A1 Hrvatska d.o.o.;134,7;A02 1025A102502 H.centar za autohtone vrste riba i rakova krških voda;381190 Ostale tekuće donacije;za redovnu djelatnost
GRAD OTOČAC;15.1.2021 1:00;A1 Hrvatska d.o.o.;134,67;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323110 Usluge telefona, telefaksa;usluge telefona 12/20 20/0001274
GRAD OTOČAC;23.2.2021 1:00;A1 Hrvatska d.o.o.;107,27;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;usluge telefona
GRAD OTOČAC;23.2.2021 1:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;usluge telefona
GRAD OTOČAC;23.2.2021 1:00;A1 Hrvatska d.o.o.;82,95;A01 1002A100005 Objekt u vlasništvu Grada 'Kuglana';323540 Licence;plaćanje računa
GRAD OTOČAC;9.3.2021 1:00;A1 Hrvatska d.o.o.;106,71;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;usluge telefona 02/21 21/0000212
GRAD OTOČAC;9.3.2021 1:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;usluge telefona 02/21 21/0000212
GRAD OTOČAC;9.4.2021 2:00;A1 Hrvatska d.o.o.;112,41;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;usluge telefona 03/21 21/0000363
